Info,,SAMP-001,SAMP-002,SAMP-003,SAMP-004,SAMP-005,SAMP-006,SAMP-007,SAMP-008,,
Property,Units,,,,,,,,,,Notes
,,,,,,,,,,,
Collection Date,,2024-01-10,2024-01-10,2024-01-11,2024-01-11,2024-01-12,2024-01-12,2024-01-13,2024-01-13,,
Location,,Site A,Site A,Site A,Site C,Site B,Site B,Site B,Site C,,
Depth,meters,1.0,2.4,2.1,1.3,2.3,2.4,1.4,1.8,,
Temperature,°C,15.2,15.1,15.4,14.4,14.9,15.8,15.6,14.3,,
,,,,,,,,,,,
,,,,,,,,,,,
Weather Conditions,,Clear,Rain,Overcast,Clear,Clear,Clear,Overcast,Overcast,,
Collector,,Dr. Wilson,Dr. Chen,Dr. Wilson,Dr. Wilson,Dr. Wilson,Dr. Wilson,Dr. Patel,Dr. Patel,,
,,,,,,,,,,,
Sample Volume,mL,250,250,250,250,500,500,250,250,,
Container Type,,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,,
,,,,,,,,,,,
,,,,,,,,,,,
Approved By,,Dr. Patel,Dr. Wilson,Dr. Patel,Dr. Wilson,Dr. Chen,Dr. Chen,Dr. Wilson,Dr. Wilson,,
Approval Date,,2024-01-16,2024-01-16,2024-01-16,2024-01-17,2024-01-17,2024-01-17,2024-01-18,2024-01-18,,
