experiment_id,date,researcher,temperature_C,pressure_kPa,pH,yield_percent,duration_hours
EXP-0001,2024-01-01,Dr. Chen,29.7,104.1,6.79,86.6,6.7
EXP-0002,2024-01-02,Dr. Patel,27.8,97.4,6.89,94.7,5.4
EXP-0003,2024-01-03,Dr. Smith,29.4,96.4,7.35,90.1,4.5
EXP-0004,2024-01-04,Dr. Chen,28.9,99.9,6.82,78.7,7.4
EXP-0005,2024-01-05,Dr. Chen,26.0,104.9,6.67,76.6,2.7
EXP-0006,2024-01-06,Dr. Patel,29.2,97.4,7.06,89.8,5.0
EXP-0007,2024-01-07,Dr. Smith,20.9,101.7,7.44,75.6,2.1
EXP-0008,2024-01-08,Dr. Smith,22.0,102.6,7.2,88.5,4.8
EXP-0009,2024-01-09,Dr. Chen,20.5,97.4,7.07,96.6,2.3
EXP-0010,2024-01-10,Dr. Jones,23.3,102.3,6.6,88.2,2.7
EXP-0011,2024-01-11,Dr. Chen,23.9,98.7,7.12,83.9,2.7
EXP-0012,2024-01-12,Dr. Chen,22.7,101.3,7.49,89.8,5.9
EXP-0013,2024-01-13,Dr. Chen,28.3,101.3,6.64,85.5,6.5
EXP-0014,2024-01-14,Dr. Chen,23.6,100.4,7.02,87.5,5.5
EXP-0015,2024-01-15,Dr. Patel,22.8,95.9,7.38,96.7,7.8
EXP-0016,2024-01-16,Dr. Smith,25.4,103.4,7.24,83.9,4.2
EXP-0017,2024-01-17,Dr. Patel,21.4,98.2,7.2,97.1,3.7
EXP-0018,2024-01-18,Dr. Patel,28.0,96.9,7.2,95.8,7.2
EXP-0019,2024-01-19,Dr. Patel,20.7,95.4,6.86,79.5,3.3
EXP-0020,2024-01-20,Dr. Chen,29.9,100.9,6.79,76.6,7.8
EXP-0021,2024-01-21,Dr. Jones,27.7,101.8,7.31,77.3,2.1
EXP-0022,2024-01-22,Dr. Smith,22.0,95.2,7.31,75.4,7.8
EXP-0023,2024-01-23,Dr. Jones,20.1,100.1,7.37,77.2,2.3
EXP-0024,2024-01-24,Dr. Patel,28.2,97.3,7.41,90.7,7.3
EXP-0025,2024-01-25,Dr. Patel,27.1,101.5,7.01,76.6,5.2
EXP-0026,2024-01-26,Dr. Jones,27.3,96.7,7.0,82.3,8.0
EXP-0027,2024-01-27,Dr. Jones,27.7,101.9,7.3,94.4,2.4
EXP-0028,2024-01-28,Dr. Jones,20.7,98.9,7.15,75.5,5.3
EXP-0029,2024-01-29,Dr. Patel,23.6,104.4,7.2,93.7,7.8
EXP-0030,2024-01-30,Dr. Patel,21.2,96.4,7.3,81.5,5.1
EXP-0031,2024-01-31,Dr. Smith,28.6,98.4,7.39,77.7,5.8
EXP-0032,2024-02-01,Dr. Smith,26.2,96.1,6.84,91.0,6.2
EXP-0033,2024-02-02,Dr. Patel,23.3,104.2,6.88,89.5,4.7
EXP-0034,2024-02-03,Dr. Jones,20.6,103.8,6.59,95.2,5.8
EXP-0035,2024-02-04,Dr. Jones,23.1,97.6,7.08,91.9,5.5
EXP-0036,2024-02-05,Dr. Smith,23.3,101.6,6.54,93.5,7.4
EXP-0037,2024-02-06,Dr. Patel,27.3,103.2,6.97,81.5,2.3
EXP-0038,2024-02-07,Dr. Smith,26.4,100.6,7.04,79.1,3.7
EXP-0039,2024-02-08,Dr. Smith,28.9,100.3,6.79,92.3,7.7
EXP-0040,2024-02-09,Dr. Chen,24.7,97.4,7.09,93.6,7.3
EXP-0041,2024-02-10,Dr. Chen,21.2,95.9,6.53,97.8,4.7
EXP-0042,2024-02-11,Dr. Chen,27.1,104.0,6.54,84.5,5.7
EXP-0043,2024-02-12,Dr. Jones,27.6,104.0,7.32,83.6,3.7
EXP-0044,2024-02-13,Dr. Patel,25.6,101.3,6.86,92.9,3.1
EXP-0045,2024-02-14,Dr. Patel,27.7,98.4,6.63,82.8,4.8
EXP-0046,2024-02-15,Dr. Patel,24.9,98.5,7.02,96.4,4.1
EXP-0047,2024-02-16,Dr. Patel,25.2,102.3,7.27,94.7,5.5
EXP-0048,2024-02-17,Dr. Chen,24.3,104.0,6.72,84.9,2.5
EXP-0049,2024-02-18,Dr. Jones,20.3,103.9,7.12,92.3,7.8
EXP-0050,2024-02-19,Dr. Jones,21.1,102.8,6.59,92.4,7.9
EXP-0051,2024-02-20,Dr. Chen,20.3,101.4,6.55,77.4,6.2
EXP-0052,2024-02-21,Dr. Jones,26.4,95.8,7.03,95.8,5.2
EXP-0053,2024-02-22,Dr. Chen,23.1,96.6,7.04,86.6,3.9
EXP-0054,2024-02-23,Dr. Patel,25.1,104.0,7.14,94.0,6.9
EXP-0055,2024-02-24,Dr. Chen,29.1,101.1,7.23,82.4,6.1
EXP-0056,2024-02-25,Dr. Patel,22.5,95.1,7.48,95.6,3.0
EXP-0057,2024-02-26,Dr. Patel,24.1,96.0,7.02,84.0,7.5
EXP-0058,2024-02-27,Dr. Smith,27.6,101.6,6.82,75.2,6.9
EXP-0059,2024-02-28,Dr. Chen,22.3,95.1,7.3,95.8,7.7
EXP-0060,2024-02-29,Dr. Smith,20.8,96.6,6.77,77.1,6.4
EXP-0061,2024-03-01,Dr. Chen,22.9,100.5,6.94,82.3,5.7
EXP-0062,2024-03-02,Dr. Chen,21.6,101.9,6.58,96.9,4.5
EXP-0063,2024-03-03,Dr. Smith,29.3,101.5,6.53,96.9,7.6
EXP-0064,2024-03-04,Dr. Smith,28.1,97.2,7.46,88.2,7.2
EXP-0065,2024-03-05,Dr. Chen,26.3,102.1,7.34,89.5,2.3
EXP-0066,2024-03-06,Dr. Jones,28.7,97.4,7.2,85.3,2.2
EXP-0067,2024-03-07,Dr. Patel,28.0,98.3,6.91,81.7,4.3
EXP-0068,2024-03-08,Dr. Smith,21.9,102.5,6.67,82.6,6.9
